key,translation
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Adult_02,'Wow, {reference} is cheap AND I got a bargain on Park Entry!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Adult_03,'Park Entry was cheap, and so is {reference}! Amazing!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Child_01,'The prices for {reference} and Park Entry are great value!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Child_02,'Park Entry is a great price when tickets for {reference} are this low!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Child_03,'I've got lots of money left after Park Entry, and {reference} is cheap too!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Common_01,'This park is a bargain, Entry is cheap, and now {reference} is cheap too!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Teen_01,'{reference} is a steal considering I didn't pay much for Park Entry'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Teen_02,'Cheap Entry, and {reference} is great value too! Awesome!'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Teen_03,'{reference} could cost way more than this when Park Entry is so cheap!'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Adult_01,'{reference} is too expensive, considering how much I paid for Park Entry'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Adult_02,'Wow, {reference} is overpriced when Park Entry is this high'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Adult_03,'Park Entry was expensive, but now {reference} costs a lot as well!'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Child_01,'{reference} is too expensive! We paid lots for Park Entry!'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Child_02,'{reference} is a rip-off when rides like Park Entry cost this much'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Child_03,'I don't wanna spend lots of money on {reference} after paying for Park Entry'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Common_01,'I'm not paying this much for {reference}, I spent loads on Park Entry!'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Teen_01,'When Park Entry costs this much, I expect {reference} to be cheaper!'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Teen_02,'{reference} is poor value, I spent a lot on Park Entry!'
Guest_Thought_Assessment_RideExpensive_ParkEntryHigh_Teen_03,'I expect to pay less for {reference} when I paid a lot for Park Entry'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Adult_01,'I didn't pay much for Park Entry, I wasn’t expecting {reference} to be free!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Adult_02,'Wow, {reference} is free AND I got a bargain on Park Entry!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Adult_03,'Park Entry was cheap, but {reference} is still free! Amazing!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Child_01,'Yay! {reference} is free! This park is such a great deal!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Child_02,'Park Entry is a great price when rides like {reference} are free!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Child_03,'I've got lots of money left after Park Entry, and {reference} is still free!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Common_01,'{reference} is free? But Park Entry was so cheap!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Teen_01,'I'm surprised {reference} is free considering I didn't pay much for Park Entry'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Teen_02,'Cheap Entry, and {reference} is free too! Awesome!'
Guest_Thought_Assessment_RideFree_ParkEntryLow_Teen_03,'I'm getting a bargain on Park Entry when {reference} is free!'
Guest_Thought_Assessment_RideNauseous_Adult_01,'{reference} looks like a stomach-churning ride'
Guest_Thought_Assessment_RideNauseous_Adult_02,'I get nauseous looking at {reference}.'
Guest_Thought_Assessment_RideNauseous_Child_01,'{reference} looks like it might make me sick!'
Guest_Thought_Assessment_RideNauseous_Child_02,'I think {reference} will make me feel sick!'
Guest_Thought_Assessment_RideNauseous_Common_01,'{reference} looks like a nauseous ride.'
Guest_Thought_Assessment_RideNauseous_Teen_01,'Just looking at {reference} makes me feel ill!'
Guest_Thought_Assessment_RideNauseous_Teen_02,'{reference} looks vomit-worthy!'
Guest_Thought_Assessment_RideNotIntenseEnough_Adult_01,'{reference} is too gentle for me'
Guest_Thought_Assessment_RideNotIntenseEnough_Adult_02,'I think {reference} would bore me'
Guest_Thought_Assessment_RideNotIntenseEnough_Adult_03,'{reference} looks too slow for me'
Guest_Thought_Assessment_RideNotIntenseEnough_Child_01,'{reference} doesn't look fun to me'
Guest_Thought_Assessment_RideNotIntenseEnough_Child_02,'{reference}, isn't very exciting'
Guest_Thought_Assessment_RideNotIntenseEnough_Child_03,'{reference} is too slow for me'
Guest_Thought_Assessment_RideNotIntenseEnough_Child_04,'{reference} looks like a waste of time'
Guest_Thought_Assessment_RideNotIntenseEnough_Common_01,'{reference} looks too gentle for me'
Guest_Thought_Assessment_RideNotIntenseEnough_Teen_01,'{reference} is so... yawn'
Guest_Thought_Assessment_RideNotIntenseEnough_Teen_02,'I can't ride something as gentle as {reference}'
Guest_Thought_Assessment_RideNotIntenseEnough_Teen_03,'{reference} looks mega-boring to me!'
Guest_Thought_Assessment_RideNotIntenseEnough_Teen_04,'{reference} looks like it would bore my granny'
Guest_Thought_Assessment_RideTooIntense_Adult_01,'{reference} looks intense'
Guest_Thought_Assessment_RideTooIntense_Adult_02,'I bet {reference} is intense!'
Guest_Thought_Assessment_RideTooIntense_Adult_03,'{reference} is too intense for me'
Guest_Thought_Assessment_RideTooIntense_Adult_04,'{reference} looks terrifying'
Guest_Thought_Assessment_RideTooIntense_Child_01,'{reference} looks too scary for me'
Guest_Thought_Assessment_RideTooIntense_Child_02,'There's no way I'm going on {reference}, so scary!'
Guest_Thought_Assessment_RideTooIntense_Child_03,'Yikes! {reference} is scary!'
Guest_Thought_Assessment_RideTooIntense_Common_01,'{reference} looks too intense for me'
Guest_Thought_Assessment_RideTooIntense_Teen_01,'{reference} looks super intense'
Guest_Thought_Assessment_RideTooIntense_Teen_02,'I can't ride something as intense as {reference}'
Guest_Thought_Assessment_RideTooIntense_Teen_03,'Woah! {reference} is too intense for me'
Guest_Thought_Assessment_RideTooIntense_Teen_04,'No way am I going on {reference}. It looks crazy intense!'
Guest_Thought_Assessment_RideTooNauseous_Adult_01,'{reference} is way too nauseous for me!'
Guest_Thought_Assessment_RideTooNauseous_Adult_02,'I'm not going on {reference}. It looks so nauseating.'
Guest_Thought_Assessment_RideTooNauseous_Child_01,'{reference} would make me ill! Let's go on something else.'
Guest_Thought_Assessment_RideTooNauseous_Child_02,'I'm staying away from {reference}. It'll make me sick!'
Guest_Thought_Assessment_RideTooNauseous_Common_01,'{reference} is too much for my stomach to handle.'
Guest_Thought_Assessment_RideTooNauseous_Teen_01,'I'd heave my guts out if I went on {reference}. No thanks!'
Guest_Thought_Assessment_RideTooNauseous_Teen_02,'I don't want to go on {reference} and hurl up my lunch.'
Guest_Thought_Assessment_RideUnaffordable_Adult_01,'I don't have the cash to go on {reference}'
Guest_Thought_Assessment_RideUnaffordable_Adult_02,'I can't go on {reference}, I've run out of money'
Guest_Thought_Assessment_RideUnaffordable_Adult_03,'I don't have enough money left to buy tickets for {reference}'
Guest_Thought_Assessment_RideUnaffordable_Child_01,'We don't have enough cash to go on {reference}'
Guest_Thought_Assessment_RideUnaffordable_Child_02,'We can't go on {reference} because we don't have enough money'
Guest_Thought_Assessment_RideUnaffordable_Child_03,'Oh no! We don't have enough money to ride {reference}!'
Guest_Thought_Assessment_RideUnaffordable_Common_01,'I don't have enough money to go on {reference}'
Guest_Thought_Assessment_RideUnaffordable_Teen_01,'I've run out of money for {reference}'
Guest_Thought_Assessment_RideUnaffordable_Teen_02,'I've spent so much that I can't go on {reference}!'
Guest_Thought_Assessment_RideUnaffordable_Teen_03,'Aw man! I don't have enough money for {reference}'
Guest_Thought_Assessment_RideUntested_Common_01,'I'm not going on {reference} until it's been tested'
Guest_Thought_Assessment_RideUntested_Common_02,'{reference} could really use a test run'
Guest_Thought_Assessment_RideUntested_Common_03,'Has anyone even tested {reference} yet?'
Guest_Thought_Assessment_ShopCheap_Adult_01,'Everything at {reference} is a bargain'
Guest_Thought_Assessment_ShopCheap_Adult_02,'{reference} has such low prices!'
Guest_Thought_Assessment_ShopCheap_Adult_03,'Prices at {reference} are super cheap!'
Guest_Thought_Assessment_ShopCheap_Child_01,'Yay! We can buy loads of cheap things from {reference}!'
Guest_Thought_Assessment_ShopCheap_Child_02,'The prices at {reference} are so small!'
Guest_Thought_Assessment_ShopCheap_Child_03,'Stuff at {reference} is worth more than that!'
Guest_Thought_Assessment_ShopCheap_Common_01,'The prices at {reference} are great value!'
Guest_Thought_Assessment_ShopCheap_Teen_01,'Whoa, {reference} has low prices!'
Guest_Thought_Assessment_ShopCheap_Teen_02,'I can't believe how cheap stuff at {reference} is!'
Guest_Thought_Assessment_ShopCheap_Teen_03,'Everything at {reference} is underpriced!'
Guest_Thought_Assessment_ShopExpensive_Adult_01,'Prices at {reference} are too high for me'
Guest_Thought_Assessment_ShopExpensive_Adult_02,'Things at {reference} cost too much'
Guest_Thought_Assessment_ShopExpensive_Adult_03,'Everything in {reference} is outside my price range'
Guest_Thought_Assessment_ShopExpensive_Child_01,'Things at {reference} are too much!'
Guest_Thought_Assessment_ShopExpensive_Child_02,'Such big prices at {reference}'
Guest_Thought_Assessment_ShopExpensive_Child_03,'Nothing at {reference} is worth those prices!'
Guest_Thought_Assessment_ShopExpensive_Common_01,'Everything at {reference} is too expensive for me'
Guest_Thought_Assessment_ShopExpensive_Teen_01,'I'm not buying anything at {reference} for those prices'
Guest_Thought_Assessment_ShopExpensive_Teen_02,'No way I'm getting ripped off by {reference}'
Guest_Thought_Assessment_ShopExpensive_Teen_03,'{reference} is so expensive!'
Guest_Thought_Assessment_Transport_Bad_Common_01,'There's nothing to use {reference} for'
Guest_Thought_Assessment_Transport_Bad_Common_02,'There's no reason to take {reference} to get to anywhere'
Guest_Thought_Assessment_Transport_Bad_Common_03,'Why would I waste money on {reference}? It doesn't go anywhere!'
Guest_Thought_Assessment_Transport_Good_Common_01,'I can get to some interesting stuff if I take {reference}'
Guest_Thought_Assessment_Transport_Good_Common_02,'I can take {reference} to save time'
Guest_Thought_Assessment_Transport_Good_Common_03,'Taking {reference} will get me to some cool stuff'
Guest_Thought_CoasterCarPassing_Common_01,'I want to ride on {reference}!'
Guest_Thought_CoasterCarPassing_Common_02,'{reference} looks so cool!'
Guest_Thought_CoasterCarPassing_Common_03,'Woah! That must be {reference}'
Guest_Thought_CoasterCarPassing_Common_04,'Can't wait to try {reference}'
Guest_Thought_EnergyCritical_Destination_Common_01,'I'm tired after {reference}'
Guest_Thought_EnergyCritical_Destination_Common_02,'{reference} made me tired'
Guest_Thought_EnergyCritical_Destination_Common_03,'{reference} has worn me right out'
