key,translation
ParkManagement_LeavingGuestThoughts,'Leaving Guest Thoughts'
ParkManagement_List_Age,'Age'
ParkManagement_List_AllStaff,'All Staff'
ParkManagement_List_CustomersLastMonth,'Customers Last Month'
ParkManagement_List_DateOpened,'Date Opened'
ParkManagement_List_Entertainer,'Entertainers'
ParkManagement_List_HappinessHeader,'Happiness'
ParkManagement_List_Janitor,'Janitors'
ParkManagement_List_LastMonthsProfit,'Last Month's Profit'
ParkManagement_List_Mechanic,'Mechanics'
ParkManagement_List_MonthlyGuests,'Monthly Guests'
ParkManagement_List_NameHeader,'Name'
ParkManagement_List_NoAllStaff,'You have no staff'
ParkManagement_List_NoEntertainer,'You have no entertainers'
ParkManagement_List_NoJanitor,'You have no janitors'
ParkManagement_List_NoMechanic,'You have no mechanics'
ParkManagement_List_NoVendor,'You have no vendors'
ParkManagement_List_PayHeader,'Pay'
ParkManagement_List_PopularityHeader,'Popularity'
ParkManagement_List_PriceSync,'Price Sync'
ParkManagement_List_RideAge,'Reputation'
ParkManagement_List_RidePrestige,'Prestige'
ParkManagement_List_RidePrice,'Price'
ParkManagement_List_RosterAssignHeader,'Roster Assignment'
ParkManagement_List_SatisfactionHeader,'Satisfaction'
ParkManagement_List_StatusHeader,'Status'
ParkManagement_List_TrainingHeader,'Training Level'
ParkManagement_List_TrainingLevel,'Level {level:int}'
ParkManagement_List_Vendor,'Vendors'
ParkManagement_List_WeeklyProfitHeader,'Weekly Profit'
ParkManagement_List_WorkLoadHeader,'Workload'
ParkManagement_LoanDone,'Done'
ParkManagement_LoanInterest,'{Value} interest'
ParkManagement_Loans,'Loans'
ParkManagement_Loans_AddNewLoan,'Add New Loan'
ParkManagement_Loans_ChooseALoan,'Choose a loan'
ParkManagement_Loans_CompanyValueHeader,'Required Company Value'
ParkManagement_Loans_CompletePaidLoan,'Done'
ParkManagement_Loans_Duration,'{min:int} - {max:int} Months'
ParkManagement_Loans_DurationHeader,'Duration:'
ParkManagement_Loans_Interest,'{min:currency} - {max:currency}'
ParkManagement_Loans_InterestHeader,'Total Interest:'
ParkManagement_Loans_LoanCount,'{current:int}/{max:int}'
ParkManagement_Loans_LoanHeader,'{Value} Loan'
ParkManagement_Loans_LoansCostPerMonth,'{min:currency} - {max:currency}'
ParkManagement_Loans_MonthlyProfitHeader,'Required Monthly Profit'
ParkManagement_Loans_MonthlyRepayments,'Total Monthly Repayments'
ParkManagement_Loans_NoLoansAvailable,'There are no loans available in this scenario'
ParkManagement_Loans_NoLoanSlotsLeft,'You have taken out the maximum number of loans. You must pay off one of your loans before you can take out another one.'
ParkManagement_Loans_NotEnoughCashToPayOff,'Not enough cash to pay off loan'
ParkManagement_Loans_NumberOfLoans,'Number of Loans'
ParkManagement_Loans_ProjectedPaymentRemaining,'{remaining:currency} to repay'
ParkManagement_Loans_Repaid,'Loan repaid'
ParkManagement_Loans_RepaidAmount,'{repaid:currency} repaid'
ParkManagement_Loans_Repayment,'{min:currency} - {max:currency}'
ParkManagement_Loans_RepaymentHeader,'Monthly Cost:'
ParkManagement_Loans_TimeRemaining,'{months:int} months remaining'
ParkManagement_Loans_TotalBorrowed,'Total Borrowed'
ParkManagement_Loans_TotalInterest,'Total Interest Paid'
ParkManagement_Loans_TotalInterestPaidSoFar,'Total interest paid: {interest:currency}'
ParkManagement_Loans_TotalMonthlyRepayments,'Total Monthly Repayments'
ParkManagement_Loans_TotalSaving,'Total saving: {saving:currency}'
ParkManagement_Marketing,'Marketing'
ParkManagement_Marketing_AutoRenew,'Auto Renew'
ParkManagement_Marketing_CampaignCost,'{cost:currency}'
ParkManagement_Marketing_CampaignsRun,'Total Campaigns Run'
ParkManagement_Marketing_CampaignsRunAmount,'{campaigns:int}'
ParkManagement_Marketing_CantAfford,'Campaign cannot be started due to funding'
ParkManagement_Marketing_ChooseCampaign,'Choose a new campaign...'
ParkManagement_Marketing_CurrentCampaigns,'Number of Campaigns'
ParkManagement_Marketing_CurrentSpending,'Monthly Marketing Cost'
ParkManagement_Marketing_Done,'Done'
ParkManagement_MarketingHistory,'Marketing History'
ParkManagement_MarketingHistory_CostHeader,'Cost'
ParkManagement_MarketingHistory_DateHeader,'Date Finished'
ParkManagement_MarketingHistory_NameHeader,'Name'
ParkManagement_MarketingHistory_ParkRatingHeader,'Park Rating Boost'
ParkManagement_MarketingHistory_ParkRatingValue,'{rating:int}'
ParkManagement_MarketingList_NoItems,'You have no marketing history'
ParkManagement_Marketing_MarketingCount,'{current:int}/{max:int}'
ParkManagement_Marketing_ProgressComplete,'Campaign ended'
ParkManagement_Marketing_StartNew,'Choose something to research...'
ParkManagement_Marketing_StartNewCampaign,'Start Marketing Campaign'
ParkManagement_Marketing_TimeRemaining,'Approximately {days:int} days remaining'
ParkManagement_Marketing_Tooltip,'Attract more visitors to your park'
ParkManagement_Marketing_TotalSpent,'Lifetime Marketing Cost'
ParkManagement_MiscStatistics,'Misc Statistics'
ParkManagement_MonthlyCost,'Monthly Cost:'
ParkManagement_NewResearchItemsAvailable,'New Research Items Available'
ParkManagement_NoAttractions,'You have no attractions'
ParkManagement_NoFacilities,'You have no facilities'
ParkManagement_NoShops,'You have no shops'
ParkManagement_NotAvailableInSandbox_ToolTip,'Not available in sandbox'
ParkManagement_NotAvailableInScenario_ToolTip,'Not available in this scenario'
ParkManagement_OpeningTimes,'Opening Times'
ParkManagement_OpenTime,'Opening Time'
ParkManagement_OpenTimeHint,'Opening Time determines lighting at the start of a calendar month'
ParkManagement_Overview,'Overview'
ParkManagement_Overview_AverageStaffHappiness,'Average Staff Happiness'
ParkManagement_Overview_BreakDowns_Multiple,'{count:int} Breakdowns'
ParkManagement_Overview_BreakDowns_One,'1 Breakdown'
ParkManagement_Overview_BreakDowns_Zero,'0 Breakdowns'
ParkManagement_Overview_EntertainerCount,'Entertainers'
ParkManagement_Overview_Facility_Multiple,'{count:int} shops and facilities'
ParkManagement_Overview_Facility_One,'1 shop or facility'
ParkManagement_Overview_Facility_Zero,'0 shops and facilities'
ParkManagement_Overview_Finance_ConstructionCosts,'Monthly Construction Costs'
ParkManagement_Overview_Finance_ConstructionCosts_ToolTip,'Average month's construction costs'
ParkManagement_Overview_Finance_LoanRepayments,'Monthly Loan Repayments'
ParkManagement_Overview_Finance_LoanRepayments_ToolTip,'Average month's loan repayments'
ParkManagement_Overview_Finance_MonthlyProfit,'Monthly Profit'
ParkManagement_Overview_Finance_MonthlyProfit_ToolTip,'Average month's profit'
ParkManagement_Overview_Finance_MonthlyRevenue,'Average Monthly Revenue'
ParkManagement_Overview_Finance_MostProfitableRideOrCoaster,'Most Profitable Ride/Coaster'
ParkManagement_Overview_Finance_MostProfitableShop,'Most Profitable Shop/Facility'
ParkManagement_Overview_Finance_ResearchPayments,'Monthly Research Payments'
ParkManagement_Overview_Finance_ResearchPayments_ToolTip,'Average month's research payments'
ParkManagement_Overview_Finance_StaffWages,'Monthly Wages'
ParkManagement_Overview_Finance_StaffWages_ToolTip,'Average month's wages'
ParkManagement_Overview_FlatRide_Multiple,'{count:int} flat rides'
ParkManagement_Overview_FlatRide_One,'1 flat ride'
ParkManagement_Overview_FlatRide_Zero,'0 flat rides'
ParkManagement_Overview_Graph_BalanceBonus,'Balance Bonus'
ParkManagement_Overview_Graph_MarketingBonus,'Marketing Bonus'
ParkManagement_Overview_Graph_ParkRating,'Park Rating'
ParkManagement_Overview_Graph_RideRating,'Ride Rating'
ParkManagement_Overview_Graph_SceneryRating,'Scenery Rating'
ParkManagement_Overview_Graphs_NoDataAvailableYet,'Graphs will be available at the start of {MONTHNAME}'
ParkManagement_Overview_JanitorCount,'Janitors'
ParkManagement_Overview_Marketing_MonthlyCost,'Monthly Marketing Cost'
ParkManagement_Overview_Marketing_Status,'Marketing Status'
ParkManagement_Overview_Marketing_Status_Value_Multiple,'{count:int} active campaigns'
ParkManagement_Overview_Marketing_Status_Value_One,'1 active campaign'
ParkManagement_Overview_Marketing_Status_Value_Zero,'No active campaigns'
ParkManagement_Overview_MechanicCount,'Mechanics'
ParkManagement_Overview_MonthlyResearchSpend,'Monthly Research Spend'
ParkManagement_Overview_MostPopularAttraction,'Most Popular Attraction'
ParkManagement_Overview_MostPopularAttraction_Name,'{NAME}'
ParkManagement_Overview_MostPopularAttraction_Unknown,'-'
ParkManagement_Overview_NewResearchItems,'New Research Items'
ParkManagement_Overview_ResearchAvailable,'Available'
ParkManagement_Overview_ResearchCompleted,'{count:int} Completed'
ParkManagement_Overview_ResearchInProgress,'{count:int} In Progress'
ParkManagement_Overview_ResearchNotInSandbox,'Research not available in sandbox'
ParkManagement_Overview_ResearchSlotsAvailable,'{count:int} Slots Available'
ParkManagement_Overview_ResearchStatus,'Research Status'
ParkManagement_Overview_RideCountIssue_BrokenDown,'{count:int} broken down'
ParkManagement_Overview_RideCountIssue_Closed,'{count:int} closed'
ParkManagement_Overview_RideCountIssue_Disconnected,'{count:int} inaccessible'
ParkManagement_Overview_RideCountWithIssues_1,'{rideCount}, {issue1}'
ParkManagement_Overview_RideCountWithIssues_2,'{rideCount}, {issue1}, {issue2}'
ParkManagement_Overview_RideCountWithIssues_3,'{rideCount}, {issue1}, {issue2}, {issue3}'
ParkManagement_Overview_Tooltip,'Park information'
ParkManagement_Overview_Tracked_Multiple,'{count:int} coasters'
ParkManagement_Overview_Tracked_One,'1 coaster'
ParkManagement_Overview_Tracked_Zero,'0 coasters'
ParkManagement_Overview_VendorCount,'Vendors'
ParkManagement_ParkCapacityMaxGuests,'Maximum guests'
ParkManagement_ParkCapacityTitle,'Park Capacity'
ParkManagement_ParkOperations,'Park Operations'
ParkManagement_ParkStatistics,'Park Statistics'
ParkManagement_ParkStats_BiggestDrop,'Biggest Drop'
ParkManagement_ParkStats_FastestCoaster,'Fastest Coaster'
ParkManagement_ParkStats_GuestHappiness,'Guest Happiness'
ParkManagement_ParkStats_HighestCoaster,'Highest Coaster'
ParkManagement_ParkStats_LongestCoaster,'Longest Coaster'
ParkManagement_ParkStats_MarketingBonus,'Marketing Bonus'
ParkManagement_ParkStats_MonthsOpen,'Number of Months Since Park Opened'
ParkManagement_ParkStats_ParkBalanceBonus,'Park Balance Bonus'
ParkManagement_ParkStats_ParkRating,'Park Rating'
ParkManagement_ParkStats_RideRating,'Ride Rating'
ParkManagement_ParkStats_SceneryRating,'Scenery Rating'
ParkManagement_ParkStats_TotalDaysOpen,'Total Days Open'
ParkManagement_ParkStats_TotalLengthCoasters,'Total Length of All Coasters'
ParkManagement_ParkStats_TotalLifeSpanGuests,'Total Park Lifespan Guests'
ParkManagement_ParkStats_VomitAmount,'Total Park Lifespan Vomit'
ParkManagement_PathStatistics,'Path Statistics'
ParkManagement_PayOffLoan,'Pay Off Loan'
ParkManagement_PriceSynced,'Synced'
ParkManagement_PriceUnsynced,'Unsynced'
ParkManagement_Research,'Research'
ParkManagement_Research_CantAfford,'Research cannot be started due to funding'
ParkManagement_Research_ChooseResearch,'Choose something to research...'
ParkManagement_Research_CurrentSpending,'Current Research Spend'
ParkManagement_Research_CurrentStudies,'Current Research Projects'
ParkManagement_Research_Done,'Reveal Research'
ParkManagement_ResearchHistory,'Research History'
ParkManagement_ResearchList_CategoryHeader,'Category'
ParkManagement_ResearchList_CostHeader,'Research Cost'
ParkManagement_ResearchList_NameHeader,'Name'
ParkManagement_ResearchList_NoItems,'You have no research history'
ParkManagement_ResearchList_TimeHeader,'Research Time'
ParkManagement_Research_NewItems,'New items Available'
ParkManagement_Research_ProgressComplete,'Reveal research item...'
ParkManagement_Research_ProgressPaused,'Research Paused'
ParkManagement_ResearchRequirement,'Total Cost:'
ParkManagement_Research_ResearchCost,'{min:currency} - {max:currency}'
ParkManagement_Research_ResearchCostPerMonth,'{min:currency} - {max:currency}'
ParkManagement_Research_ResearchCount,'{current:int}/{max:int}'
ParkManagement_Research_ResearchTime,'{min:int} - {max:int} Days'
ParkManagement_Research_ResearchTotalTime,'{days:int} Days'
ParkManagement_Research_StartResearch,'Start Research'
ParkManagement_ResearchSummary,'Marketing & Research Summary'
ParkManagement_ResearchTime,'Research Time:'
ParkManagement_Research_TimeRemaining,'Approximately {days:int} days...'
ParkManagement_Research_Tooltip,'Research new items to place in the park'
ParkManagement_Research_TotalCost,'Estimated research cost: {Value:currency}'
ParkManagement_Research_TotalSpent,'Total Research Expenditure'
ParkManagement_RidesSummary,'Rides & Attractions Summary'
ParkManagement_RideStateAging,'Aging'
ParkManagement_RideStateClassic,'Classic'
ParkManagement_RideStateNew,'New'
ParkManagement_RideStateOld,'Old'
ParkManagement_Shops,'Shops'
ParkManagement_Staff,'Staff'
ParkManagement_Staff_Add_Roster,'Add new work roster'
ParkManagement_Staff_Fire,'Fire staff member'
ParkManagement_Staff_Fired,'Fired'
ParkManagement_Staff_Fired_Tooltip,'Staff member has been fired and is trying to leave the park'
ParkManagement_StaffList,'Staff List'
ParkManagement_StaffListToolTip,'Open staff information'
ParkManagement_Staff_Quit,'Quit'
ParkManagement_Staff_Quit_Tooltip,'Staff member has quit and is trying to leave the park'
ParkManagement_StaffSummary,'Staff Summary'
ParkManagement_Staff_Tooltip,'Hire and view staff'
ParkManagement_Staff_Workload_High,'High'
ParkManagement_Staff_Workload_Low,'Low'
ParkManagement_Staff_Workload_Medium,'Normal'
ParkManagement_TeenGroups,'Teen Groups'
ParkManagement_TicketLifetimeVisitors,'Lifetime Visitors'
ParkManagement_TicketMissedSalesLastMonth,'Missed Sales Last Month'
ParkManagement_TicketPrices,'Ticket Prices'
ParkManagement_TicketSalesLastMonth,'Sales Last Month'
ParkManagement_Tickets_ParkCapacityCannotBeChangedInScenario,'The park capacity cannot be changed in this scenario'
ParkManagement_TicketStepperChild,'Family'
ParkManagement_TicketStepperChildHint,'The entrance price for each Guest in a Family group'
ParkManagement_TicketStepperFastPass,'Priority Pass'
ParkManagement_TicketStepperFastPassHint,'The price of a Priority Pass sold at Information Booths (per guest)'
ParkManagement_TicketStepperFastPass_NoFastPassFacilities,'Information Booths are required to sell Priority Pass tickets'
ParkManagement_TicketStepperStandard,'Standard'
ParkManagement_TicketStepperStandardHint,'The entrance price for each Guest in an Adult or Teen group'
ParkManagement_TicketVisitorsLastMonth,'Visitors Last Month'
ParkManagement_TitleStatus,'Park status: {STATUS}'
ParkManagement_TopThoughts,'Top Guest Thoughts'
ParkManagement_Triggers,'Triggers'
